Level 1: items in red font,,,,,,,,,,,,,,
Level 2: items in yellow highlight,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,01,02,03,04,05,06,07,08,09,10,11,12,13,14
hyper-parameters,,,,,,,,,,greedy I,same as #06,same as #07,greedy I,greedy II
ppl,8,8,4,4,4,4,4,4,4,,,,,
time (s),10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,86400,86400,86400,86400
depart,last one,median,last one,median,median,min,min,min,min,,,,,
sort edge_from,default,remove -,default,default,remove -,remove -,remove -,"len(x), x","len(x), x ; remove -, #",,,,,
time interval (mins),30,20,30,30,30,20,20,20,20,,,,,
seed,30,30,30,30,30,30,30,30,30,,,,,
sorted_by,edge_from,edge_from,edge_from,edge_from,edge_from,edge_from,depart,"len(x), x","len(x), x ; remove -, #",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Performance,,,,,,,,,,,,,,
Duration,204.24s,215.99s,223.75s,209.64s,210.21s,212.08s,210.54s,212.37s,211.32s,193.12s,3931.30s,1708.59s,1923.05s,2067.77s
Real time factor,52.8841,50.0065,48.2718,51.5207,51.381,50.9279,51.3004,50.8596,51.113,55.9298,21.9777,50.5687,44.9291,41.7847
UPS,7527.171598,7094.253491,7187.956416,7501.235428,7425.399831,7505.299787,7453.606,7496.028,7513.856,8141.256,6974.372,16102.81,13942.04,12922.91
UPS-Persons,4170.633425,4078.178821,2989.57784,3236.963615,3090.793192,2883.173648,3138.242,2929.227,2804.014,2953.81,8644.096,15160.59,12333.9,10962.71
Vehicles,,,,,,,,,,,,,,
Inserted,3768 (Loaded 3878),3768 (Loaded 3878),3814 (Loaded 3924),3814 (Loaded 3924),3814 (Loaded 3924),3815 (Loaded 3925),3815 (Loaded 3925),3815 (Loaded 3925),3815 (Loaded 3925),3815 (Loaded,58018,58022,58022,58022
Running,405,401,414,416,422,407,420,413,417,411,1,1,1,1
Waiting,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persons,,,,,,,,,,,,,,
Inserted,378,378,378,378,378,378,378,378,378,378,5746,5746,5746,5746
Running (↓),282,279,217,211,202,194,208,189,193,173,347,163,163,156
Statistics (avg),,,,,,,,,,,,,,
RouteLength,3856.96,3832.09,4021.88,3955.76,4004.7,4047.97,4014.88,4023.76,4011.01,4035.1,4476.7,4483.52,4403.94,4390.59
Speed,10.08,10.08,10.07,10.09,10.1,10.08,10.12,10.09,10.09,10.11,9.88,9.87,9.89,9.89
Duration,395.6,393,414.51,406.35,408.14,414.49,409.55,411.43,409.87,411.17,472.58,474.18,462.09,460.54
WaitingTime,76.71,76.84,80.26,78.67,78.64,80.84,79.47,79.84,79.76,79.58,94.74,95.63,91.97,91.59
TimeLoss,132.48,132.97,137.9,135.34,135.8,138.74,136.4,137.38,136.98,137,163.11,164.33,159.07,158.49
DepartDelay,0.5,0.5,0.51,0.51,0.5,0.51,0.5,0.51,0.5,0.5,0.75,0.69,0.71,0.74
Ride Statistics (↑),96,99,161,167,176,184,170,189,185,205,5399,5583,5583,5590
WaitingTime,792.97,934.32,491.66,936.82,846.62,495.67,786.72,526.28,459.63,530.8,615.36,680.88,679.75,845.85
RouteLength (↓),24137.31,25220.89,12871.56,13133.46,13099.19,12539.47,14190.49,13205.04,12469.97,10728.86,20540.72,20538.56,14881.37,14881.37
Duration,2629.66,2731.68,1400.98,1418.19,1325.56,1292.29,1453.78,1360.31,1286.48,1077.1,2258.49,2266.63,1575.93,1575.93
# Bus,48,95,95,95,95,95,95,95,95,,,,,
"total wait time 
 of all transported passengers (↓)",76125.12,92497.68,79157.26,156448.94,149005.12,91203.28,133742.4,99466.92,85031.55,108814,3322328.64,3801353.04,3795044.25,4728301.5